timestamp,temperature,humidity,location,sensor_id,unit_temp,unit_humidity,sampling_rate,data_quality
2024-01-01 00:00:00,22.829933778832277,48.35533563480545,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:01:00,22.331883775591344,42.028649380083564,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:02:00,21.52805630800788,40.36336064578554,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:03:00,23.040370372963334,46.43072987624504,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:04:00,22.52804153615155,43.79636272846807,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:05:00,21.999908352933282,54.171935870130916,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:06:00,22.50028857006294,52.975740247067066,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:07:00,22.194649439573453,52.39790590162018,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:08:00,22.191604781505333,43.321938568455636,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:09:00,22.695659037296007,59.734470946889545,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:10:00,23.230526903838964,44.79405580862754,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:11:00,20.72945079464888,48.27057931230712,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:12:00,22.077932483068395,46.278128507525274,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:13:00,22.796073075764408,48.08225808911423,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:14:00,21.162971307490626,51.28119004368474,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:15:00,22.248193859488754,45.62143963095503,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:16:00,21.600739027601616,43.934236516833714,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:17:00,22.996087524997282,40.75837804452139,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:18:00,21.461847915547363,44.36719473862172,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:19:00,22.55266473163003,45.95349391055429,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:20:00,22.05017219941573,39.66998600888191,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:21:00,20.445598806614576,43.22821286912546,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:22:00,21.18401131674378,45.96028559350344,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:23:00,20.46545248277399,41.304930593703816,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:24:00,22.630788374189333,41.931622484549045,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:25:00,23.67815990437819,41.479581018879436,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:26:00,22.075480231311538,45.18989377291791,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:27:00,20.648647380371962,47.66719496128451,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:28:00,22.974504489551265,48.63054841381162,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:29:00,21.876457057719495,55.34431588304251,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:30:00,22.26805592528495,38.14530263215044,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:31:00,21.96723637025974,44.17706987151602,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:32:00,21.363220516113696,37.56482512980784,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:33:00,21.85334043251765,38.78824226097006,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:34:00,23.445505559312807,37.9042460783578,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:35:00,20.72233952878698,49.77442173695103,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:36:00,20.308626258339487,40.549372667174694,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:37:00,22.084736385168338,42.62375300346925,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:38:00,22.020650137647984,51.07392215047754,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:39:00,21.669706354562788,53.15645518556222,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:40:00,23.133412344304535,42.152186145466196,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:41:00,23.507103045778706,41.726852974481545,Beijing,DHT22-01,Celsius,%,1min,good
2024-01-01 00:42:00,21.376813140719353,38.01978416365013,Beijing,DHT22-01,Celsius,%,1min,good
